                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3511,                 3.3845,                 2.2132,                0.00267,                    0.8,                0.27175,                0.08905,                 2.5913,                 4.0371,                 2.3879,                0.00018,                0.00018,                0.00018
                      2,                 1.6794,                 2.5533,                 1.5603,                      1,                0.27242,                0.51032,                0.18923,                 2.1725,                   3.23,                 1.7416,              0.0003753,              0.0003753,              0.0003753
                      3,                 1.4274,                 1.7218,                  1.315,                0.78204,                   0.55,                0.62615,                0.22266,                 2.0751,                 3.1917,                 1.6418,             0.00056565,             0.00056565,             0.00056565
                      4,                 1.4884,                 1.7321,                 1.3511,                      1,                0.29935,                 0.6617,                0.31173,                 1.8696,                 3.1428,                 1.6608,             0.00075104,             0.00075104,             0.00075104
                      5,                 1.3927,                 1.6445,                  1.344,                0.55286,                   0.35,                0.33522,                0.16449,                  1.991,                 3.6166,                 1.9464,             0.00093149,             0.00093149,             0.00093149
                      6,                 1.4525,                 1.6777,                 1.3245,                      1,                0.15425,                0.38539,                0.18486,                 2.1863,                 3.5636,                 2.0311,               0.001107,               0.001107,               0.001107
                      7,                 1.4331,                  1.652,                 1.3754,                0.83332,                0.24998,                0.36012,                0.17093,                  2.181,                 3.5835,                 2.0854,              0.0012775,              0.0012775,              0.0012775
                      8,                 1.4959,                 1.5442,                 1.3913,                0.65326,                0.37788,                0.38384,                0.19976,                 2.1075,                 3.2006,                 1.8739,              0.0014431,              0.0014431,              0.0014431
                      9,                 1.4341,                 1.4999,                 1.3448,                0.96328,                   0.35,                0.42753,                0.19997,                 2.2161,                 3.3442,                 1.9183,              0.0016038,              0.0016038,              0.0016038
                     10,                 1.3565,                 1.4495,                 1.3208,                0.86877,                    0.4,                0.49548,                0.25202,                 1.9743,                 2.7292,                 1.7347,              0.0017595,              0.0017595,              0.0017595
                     11,                 1.3659,                 1.4246,                 1.2876,                0.61355,                0.47709,                0.51843,                  0.201,                 2.2077,                 2.7253,                 2.1277,              0.0017525,              0.0017525,              0.0017525
                     12,                 1.4769,                 1.4428,                 1.3533,                0.58201,                   0.65,                0.64121,                 0.2906,                  2.126,                 2.3821,                  2.065,              0.0017278,              0.0017278,              0.0017278
                     13,                 1.4006,                 1.4989,                 1.3186,                0.88538,                0.77319,                0.80221,                0.31801,                 2.0899,                 2.2811,                 1.9288,               0.001703,               0.001703,               0.001703
                     14,                 1.3294,                 1.3605,                 1.2694,                0.74633,                   0.45,                0.49973,                0.21177,                 2.2426,                 2.4425,                 1.9412,              0.0016783,              0.0016783,              0.0016783
                     15,                 1.3341,                 1.3718,                 1.2941,                0.58348,                    0.5,                0.48452,                0.19115,                 2.3444,                 2.4444,                 2.0232,              0.0016535,              0.0016535,              0.0016535
                     16,                 1.3581,                 1.3538,                 1.3035,                0.80064,                   0.65,                0.75596,                 0.2605,                 2.5988,                 2.1719,                  2.376,              0.0016287,              0.0016287,              0.0016287
                     17,                 1.2717,                 1.2847,                 1.2411,                0.65892,                   0.55,                0.68728,                 0.2444,                 2.7056,                 2.2224,                 2.4267,               0.001604,               0.001604,               0.001604
